City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
328,Dwarka,IN,82.35,overcast clouds,22.2394,68.9678,
329,Nizwa,OM,87.51,overcast clouds,22.9333,57.5333,Hotel Narayan Avezika Comfort
331,Kalmunai,LK,82.2,scattered clouds,7.4167,81.8167,Orient Apartments
332,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,VS Villa
333,Bela,IN,79.61,overcast clouds,25.9333,81.9833,HS Hotsson Smart Acapulco
334,Katsuura,JP,86.04,scattered clouds,35.1333,140.3,Raj Bhawan
335,Tenenkou,ML,82.98,broken clouds,14.4572,-4.9169,Katsuura Hotel Mikazuki
336,Doaba,PK,81.25,scattered clouds,33.4244,70.7364,
343,Huangchuan,CN,85.33,clear sky,32.1272,115.0394,mian hayat khan
345,Sampit,ID,85.73,broken clouds,-2.5333,112.95,Guangzhou International Hotel
348,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Aquarius Boutique Hotel Sampit
349,Russell,US,85.23,clear sky,32.3502,-85.1999,Mercure Padang
351,Soto La Marina,MX,79.41,overcast clouds,23.7667,-98.2167,Macs
352,Monrovia,LR,76.5,few clouds,6.3005,-10.7969,Hotel Chicago
359,Acarau,BR,77.47,scattered clouds,-2.8856,-40.12,Sunset Inn
360,Toccoa,US,82.04,clear sky,34.5773,-83.3324,castelo pizzaria
362,Athabasca,CA,76.82,broken clouds,54.7169,-113.2854,Quality Inn
363,Sinnamary,GF,78.19,clear sky,5.3833,-52.95,Athabasca Lodge Motel
366,Fort Nelson,CA,78.39,few clouds,58.8053,-122.7002,ALETHEIA Appartement Sinnamary
369,Hinton,CA,84.24,scattered clouds,53.4001,-117.5857,The Fort Nelson Hotel
372,Wahiawa,US,86.32,clear sky,21.5028,-158.0236,Econo Lodge & Suites
376,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,Aloha Wahiawa
379,Port Moresby,PG,87.22,haze,-9.4431,147.1797,HAMDAN PLAZA HOTEL SALALAH
