City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,Alta Floresta,-9.8756,-56.0861,73.53,42,4,3.47,BR,2021-07-28 01:45:58
153,Port Elizabeth,-33.918,25.5701,57.49,82,0,11.5,ZA,2021-07-28 01:43:46
154,Bacolod,10.6667,122.95,84.78,76,94,19.04,PH,2021-07-28 01:45:59
155,Dali,25.7,100.1833,70.02,81,77,0.81,CN,2021-07-28 01:41:29
156,Goderich,43.7501,-81.7165,68.92,83,0,0.0,CA,2021-07-28 01:45:05
157,Iskateley,67.6803,53.1512,44.62,87,100,9.84,RU,2021-07-28 01:45:59
158,Margate,51.3813,1.3862,63.91,86,99,3.0,GB,2021-07-28 01:46:00
159,Dombarovskiy,50.7587,59.5386,64.53,48,60,5.32,RU,2021-07-28 01:46:00
160,Sarangani,5.4033,125.4636,84.15,73,58,6.58,PH,2021-07-28 01:46:00
161,Port Blair,11.6667,92.75,82.81,83,100,19.39,IN,2021-07-28 01:46:01
162,Tecolutla,20.4833,-97.0167,81.28,78,43,7.47,MX,2021-07-28 01:46:01
163,Huescar,37.811,-2.5412,70.93,66,0,1.9,ES,2021-07-28 01:46:02
164,Tura,25.5198,90.2201,79.7,91,96,3.47,IN,2021-07-28 01:46:02
165,Samarai,-10.6167,150.6667,78.96,87,88,15.73,PG,2021-07-28 01:46:03
166,Mar Del Plata,-38.0023,-57.5575,46.13,66,90,13.0,AR,2021-07-28 01:46:03
167,Saint-Louis,16.3333,-15.0,77.14,73,72,15.73,SN,2021-07-28 01:46:03
168,Anaconda,46.1285,-112.9423,83.39,61,85,7.78,US,2021-07-28 01:46:04
169,Ketchikan,55.3422,-131.6461,61.18,71,18,3.18,US,2021-07-28 01:44:30
170,Erie,42.7667,-78.6664,72.82,87,11,2.51,US,2021-07-28 01:46:04
171,Trairi,-3.2778,-39.2689,77.41,85,8,10.29,BR,2021-07-28 01:45:53
172,Lund,55.7058,13.1932,65.48,79,63,3.13,SE,2021-07-28 01:46:05
173,Butaritari,3.0707,172.7902,81.64,72,100,4.54,KI,2021-07-28 01:46:05
174,Ambilobe,-13.2,49.05,63.45,86,2,3.22,MG,2021-07-28 01:46:05
175,Caxias,38.7031,-9.2767,66.58,80,20,1.99,PT,2021-07-28 01:46:06
176,Nuuk,64.1835,-51.7216,54.21,50,17,11.5,GL,2021-07-28 01:46:06
177,Kupang,-10.1667,123.5833,84.78,51,20,19.57,ID,2021-07-28 01:46:07
178,Bagn,60.8225,9.5521,64.08,99,100,2.59,NO,2021-07-28 01:46:07
179,Buin,-33.7333,-70.75,52.74,44,0,4.38,CL,2021-07-28 01:46:07
180,San Patricio,28.017,-97.5169,86.68,65,30,8.57,US,2021-07-28 01:46:08
181,Ulaangom,49.9811,92.0667,69.58,52,0,7.61,MN,2021-07-28 01:46:08
182,Bac Lieu,9.285,105.7244,85.69,68,40,15.32,VN,2021-07-28 01:46:08
183,Mayo,38.8876,-76.5119,84.09,84,0,4.54,US,2021-07-28 01:46:09
184,Krotovka,53.2858,51.1686,60.55,79,89,4.74,RU,2021-07-28 01:46:09
