City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
103,Dikson,73.5069,80.5464,42.21,89,100,13.2,RU,2021-07-30 02:19:30,light rain
104,Monte Alto,-21.2611,-48.4964,39.72,38,48,4.65,BR,2021-07-30 02:21:30,scattered clouds
105,Umm Lajj,25.0213,37.2685,84.25,54,93,5.23,SA,2021-07-30 02:24:35,overcast clouds
106,Hay River,60.8156,-115.7999,69.78,52,20,4.61,CA,2021-07-30 02:22:24,few clouds
107,Mount Isa,-20.7333,139.5,85.77,20,5,9.22,AU,2021-07-30 02:20:56,clear sky
108,Constitucion,-35.3333,-72.4167,51.37,76,0,2.28,CL,2021-07-30 02:21:28,clear sky
109,Comodoro Rivadavia,-45.8667,-67.5,60.66,27,0,8.05,AR,2021-07-30 02:24:36,clear sky
110,Vila Franca Do Campo,37.7167,-25.4333,70.21,93,45,4.68,PT,2021-07-30 02:19:10,scattered clouds
111,Arlit,18.7369,7.3853,91.35,41,6,10.42,NE,2021-07-30 02:24:36,clear sky
112,Broome,42.2506,-75.833,68.77,94,1,1.01,US,2021-07-30 02:24:37,clear sky
113,Port Hueneme,34.1478,-119.1951,95.92,82,90,17.27,US,2021-07-30 02:23:12,overcast clouds
114,Lima,-12.0432,-77.0282,59.25,88,90,9.22,PE,2021-07-30 02:23:29,overcast clouds
115,Ribeira Grande,38.5167,-28.7,70.57,87,9,7.36,PT,2021-07-30 02:20:53,clear sky
116,Savinskiy,62.9342,40.1361,56.26,97,100,1.97,RU,2021-07-30 02:24:38,overcast clouds
117,Schwanewede,53.2333,8.6,56.01,82,17,1.01,DE,2021-07-30 02:24:38,few clouds
118,Codroipo,45.96,12.9792,72.0,87,0,5.17,IT,2021-07-30 02:24:38,clear sky
119,Cidreira,-30.1811,-50.2056,45.09,72,12,9.22,BR,2021-07-30 02:19:27,few clouds
120,Yar-Sale,66.8333,70.8333,50.65,90,94,16.98,RU,2021-07-30 02:21:43,overcast clouds
121,Petropavlovsk-Kamchatskiy,53.0452,158.6483,68.59,100,75,6.71,RU,2021-07-30 02:22:10,broken clouds
122,Upernavik,72.7868,-56.1549,45.18,87,99,4.38,GL,2021-07-30 02:18:38,overcast clouds
123,Laredo,27.5064,-99.5075,90.84,48,1,11.5,US,2021-07-30 02:23:14,clear sky
124,Eureka,40.8021,-124.1637,95.74,79,44,1.99,US,2021-07-30 02:21:33,scattered clouds
125,Ojinaga,29.5667,-104.4167,77.95,61,1,5.75,MX,2021-07-30 02:24:39,clear sky
126,Lorengau,-2.0226,147.2712,85.35,68,31,5.21,PG,2021-07-30 02:24:40,scattered clouds
127,Talnakh,69.4865,88.3972,57.47,91,100,2.35,RU,2021-07-30 02:24:40,light rain
128,Esperance,-33.8667,121.9,56.44,67,97,26.69,AU,2021-07-30 02:18:49,overcast clouds
129,Canto Do Buriti,-8.11,-42.9444,76.86,37,11,2.64,BR,2021-07-30 02:24:41,few clouds
130,Souillac,-20.5167,57.5167,70.36,88,75,14.97,MU,2021-07-30 02:18:12,light rain
131,Srednekolymsk,67.45,153.6833,47.79,53,94,9.44,RU,2021-07-30 02:19:30,overcast clouds
132,Cabo San Lucas,22.8909,-109.9124,87.62,73,20,3.0,MX,2021-07-30 02:19:03,few clouds
133,Laguna,38.421,-121.4238,105.46,31,1,5.99,US,2021-07-30 02:24:41,clear sky
134,Berlevag,70.8578,29.0864,44.24,84,100,3.69,NO,2021-07-30 02:19:19,overcast clouds
135,Qaanaaq,77.484,-69.3632,39.72,88,69,7.58,GL,2021-07-30 02:19:03,broken clouds
136,Deputatskiy,69.3,139.9,55.94,41,87,4.07,RU,2021-07-30 02:20:00,overcast clouds
137,Port Lincoln,-34.7333,135.8667,64.6,52,5,20.02,AU,2021-07-30 02:15:11,clear sky
138,Kodiak,57.79,-152.4072,56.71,62,90,3.44,US,2021-07-30 02:18:44,overcast clouds
139,Saldanha,-33.0117,17.9442,42.85,84,4,4.54,ZA,2021-07-30 02:24:42,clear sky
140,Port Macquarie,-31.4333,152.9167,66.16,38,0,7.63,AU,2021-07-30 02:20:43,clear sky
141,Yatou,37.15,122.3833,80.19,80,91,18.61,CN,2021-07-30 02:24:43,light rain
142,Wah,33.798,72.6957,84.0,71,59,6.96,PK,2021-07-30 02:24:43,broken clouds
143,Sorland,67.667,12.6934,50.45,86,36,25.03,NO,2021-07-30 02:21:45,scattered clouds
144,Union,40.6334,-74.2663,73.31,94,1,0.0,US,2021-07-30 02:24:44,clear sky
145,Anadyr,64.75,177.4833,41.5,86,75,13.0,RU,2021-07-30 02:19:26,light intensity shower rain
146,Santa Maria,-29.6842,-53.8069,34.9,100,0,2.3,BR,2021-07-30 02:24:44,clear sky
147,Saiha,22.4833,92.9667,77.47,89,90,2.86,IN,2021-07-30 02:24:45,overcast clouds
148,Providencia,28.7167,-111.5833,93.25,44,16,9.98,MX,2021-07-30 02:24:45,few clouds
149,Suslovo,56.2167,88.1167,63.3,63,100,5.66,RU,2021-07-30 02:24:45,overcast clouds
150,Nazareno,25.3833,-103.4167,88.11,43,63,5.46,MX,2021-07-30 02:24:46,broken clouds
151,Sao Filipe,14.8961,-24.4956,75.16,79,52,6.93,CV,2021-07-30 02:19:26,broken clouds
152,Walvis Bay,-22.9575,14.5053,52.75,62,0,2.3,NA,2021-07-30 02:22:32,clear sky
153,Cherskiy,68.75,161.3,37.78,64,100,20.58,RU,2021-07-30 02:19:04,overcast clouds
154,Fortuna,40.5982,-124.1573,95.47,88,20,9.22,US,2021-07-30 02:19:20,few clouds
155,Kutum,14.2,24.6667,79.14,57,87,5.66,SD,2021-07-30 02:19:05,overcast clouds
156,Douglas,41.3,-96.167,85.3,76,90,3.0,US,2021-07-30 02:24:47,overcast clouds
157,Cayenne,4.9333,-52.3333,77.09,89,0,0.0,GF,2021-07-30 02:15:21,clear sky
158,Kavaratti,10.5669,72.642,82.33,75,98,15.37,IN,2021-07-30 02:24:47,overcast clouds
159,Tankhoy,51.5528,105.1306,54.23,96,100,7.76,RU,2021-07-30 02:24:47,moderate rain
